|Local Time|User SSO|Country|Transmission Number|Message received
1/10/2017 8:18:32 PM|1/10/2017 1:18:32 PM|LOGON\212591094|FRA|EBS.175898999|22853|Submitted successfully
1/20/2017 12:22:50 AM|1/19/2017 5:22:50 PM|LOGON\212591094|USA|EBS.167908828|23039|Submitted successfully
1/23/2017 6:24:28 PM|1/23/2017 11:24:28 AM|LOGON\212591094|USA|EBS.166899092|23137|Submitted successfully
1/24/2017 1:42:57 AM|1/23/2017 6:42:57 PM|LOGON\212591094|USA|EBS.167908828|23140|Submitted successfully
1/24/2017 1:51:50 AM|1/23/2017 6:51:50 PM|LOGON\212591094|USA|EBS.167908828|23141|FK_NOT_FOUND_ERROR
1/24/2017 2:23:12 AM|1/23/2017 7:23:12 PM|LOGON\212591094|USA|EBS.167908828|23142|Submitted successfully
1/24/2017 8:19:33 PM|1/24/2017 1:19:33 PM|LOGON\212591094|USA|EBS.167908828|23181|Submitted successfully
1/24/2017 10:28:53 PM|1/24/2017 3:28:53 PM|LOGON\212591094|USA|EBS.167908828|23182|Submitted successfully
1/24/2017 10:37:31 PM|1/24/2017 3:37:31 PM|LOGON\212591094|USA|EBS.167908828|23183|Submitted successfully
1/26/2017 9:20:43 PM|1/26/2017 2:20:43 PM|LOGON\212591094|USA|EBS.167908828|23251|Submitted successfully
1/27/2017 12:20:59 AM|1/26/2017 5:20:59 PM|LOGON\212591094|MEX|EBS.4443799-1-2-20161124235132||Object reference not set to an instance of an object.
1/27/2017 12:37:45 AM|1/26/2017 5:37:45 PM|LOGON\212591094|MEX|EBS.4443799-1-2-20161124235132||Object reference not set to an instance of an object.
1/27/2017 3:54:51 PM|1/27/2017 8:54:51 AM|LOGON\212591094|MEX|EBS.4443799-1-2-20161124235132||Object reference not set to an instance of an object.
1/27/2017 4:18:36 PM|1/27/2017 9:18:36 AM|LOGON\212591094|MEX|EBS.4443799-1-2-20161124235132||Object reference not set to an instance of an object.
1/27/2017 4:28:26 PM|1/27/2017 9:28:26 AM|LOGON\212591094|MEX|EBS.4443799-1-2-20161124235132|53120|Submitted successfully
1/27/2017 5:50:53 PM|1/27/2017 10:50:53 AM|LOGON\212591094|MEX|EBS.4443799-1-2-20161124235132|53141|Submitted successfully
1/30/2017 8:16:12 PM|1/30/2017 1:16:12 PM|LOGON\212591094|USA|EBS.168892932|23272|Submitted successfully
